sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
f010921edd2a84c89a15532c3eaedf481b2bc448eb387e93077ba20dccc85370,ลำปาง,1,16,เมือง,เชียงใหม่,20,12,8,0.4
6017e3d5728c46a5056fe8bee92610aef209e73e6b0fa006e982366240696454,ลำปาง,1,2,เม็ด,ม้านเป้า,172,164,8,0.046511627906976744
3b6dffaa888ccd263e36e97f94ce5a6fa0b916a9de58b9f58fa78070230b3550,ลำปาง,1,2,หัวลังค์ครู,หนองเหลม,83,74,9,0.10843373493975904
c7bee79332680f699f3d6971b8e087e6024ba3d8016e9fc392bd0f2b25c3d3e2,ลำปาง,1,3,หัวเมือง,แม่สน,116,107,9,0.07758620689655173
d2554d345b7834f5866c4e4ac426604e702eefad1eef23f2c0c7023078949d9b,ลำปาง,1,11,เมืองลำปาง,ท่างาย,112,102,10,0.08928571428571429
31c9279f04e0f99db4bd1c4cf9f13c97fc1d12671ef090d99e0af8884fdda6a5,ลำปาง,1,7,หัวเมืองฯ,ห้ามจิตร,96,86,10,0.10416666666666667
ce6c2f52d14e2ee85a81a959f00ea6d4a7c79eb2e36533f081f7d0cd23d8f4c0,ลำปาง,1,27,เมือง,พลนาท,25,15,10,0.4
47450f13216126e0d3bbeb2b9265713ab938b7363c7b53476e859481222362cf,ลำปาง,1,2,ห้างฉัตร,วอแก้ว,61,51,10,0.16393442622950818
6d893080c4f03d2bf47c1f8587283001c16c3e0d8378d85180b11d6358b07022,ลำปาง,1,4,เมืองฯ,หัวมูลค่า,98,87,11,0.11224489795918367
98632279b4dce4cf53f57e9a3b83ea433d6a0d4e90525001942c724ddcc70f0f,ลำปาง,1,7,เมืองฯ,ป้อมเฮือง,70,59,11,0.15714285714285714
de1595317f62d3b6c468e687ee89c7d8d59ae9b3ff2d39a417012fb4ee3a4214,ลำปาง,1,4,ถลาง,แม่จันทร์,69,58,11,0.15942028985507245
ba2fce20fcb3de3481aa4e52af75d235efc9db1235d5d2cb3c28f7ba0a23b217,ลำปาง,1,63,เมือง,พระบาท,58,47,11,0.1896551724137931
163d8bc732dd29d365df9c5be6097b7a584b23122abad2c972cd79e8c7949203,ลำปาง,1,4,นางฉัตร,เมืองขวาง,59,47,12,0.2033898305084746
ac28bb0ea1eb01f99b41aaa29e703d4b2d85c542ed5615fc258bc0d73f393274,ลำปาง,1,57,เมือง,พระบาท,39,27,12,0.3076923076923077
dd07b6e31a512cdb02b73184213f1681154aa03d73ea8a6d142f19e3a6f336e4,ลำปาง,1,10,หางจิตร,เวียงตลาด,99,87,12,0.12121212121212122
5ae29c89724b8b047c66e3d48d8d40e13f065eec173bc11aa56460bd60087150,ลำปาง,1,13,เมืองลำปาง,นิคมพัฒนา,65,52,13,0.2
ae32d48e0074c0e8addaa714ea76ea4ed412a906bd832694b4febf2e56cd4ad7,ลำปาง,1,2,เมือง,ป้อมแพลงคลอง,141,128,13,0.09219858156028368
a220923a9b94f52e1ad75e6ba324a77ceaeb6522938959ab5c9798a00d0100dd,ลำปาง,1,15,หัวน้ำเข็ม,เชิงคาม,123,110,13,0.10569105691056911
036e9e16eee28cfa08249f71df5309eaf66214daf3ccfc16af70d7ed43d66e9b,ลำปาง,1,14,เมือง,เชียงเทียน,52,39,13,0.25
e3d2366250a5fb6e48a048624ad3008067ade56c25162de67b14e20b1cb352ed,ลำปาง,1,8,เมือง,บ้านเอื้อม,150,136,14,0.09333333333333334
8c04685846be74413d9c2da6407c23528338e9d50dc5a9dc7876270496bf9c95,ลำปาง,1,1,อำเภอ/เขต,ตำบล/แขวง/เทศบาล,198,184,14,0.0707070707070707
2d3c3b93c7614d3e9da1040641b15caf81e0c91ba24603feab824355df4f21a9,ลำปาง,1,13,เมือง,มาน้ำ,40,26,14,0.35
bc278335c2ecf68a4d14c5c76cc9fee1dadb4836884536bd2bda08658a975b6e,ลำปาง,1,3,เมือง,บ้านเลื้อม,133,119,14,0.10526315789473684
f6b654f23de9a20843d4b57cb2dbf2034d19db2e668b1f4820e2952a34158434,ลำปาง,1,6,เมือง,ปุณณางค์พิมพา,42,27,15,0.35714285714285715
bdf304839611369ab67c26c015e070aae9f1aeb0eaad8a0eded11fdcd6cb1cf2,ลำปาง,1,6,เมืองลำปาง,ทุ่งฝาย,129,114,15,0.11627906976744186
