sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
6594b016f5f01beb35646943f9d50fcd37492a39ced3f88d4a39c7436e3f0c8a,ลำปาง,1,4,บางตลาด,นางลดา,92,49,43,0.4673913043478261
91edf8fb783c1a24cd362c908e4943c452f5da5f24ac5471125a6cbbacd7d63a,ลำปาง,1,13,หัวล้านฯ,บางนาดำ,195,152,43,0.2205128205128205
df768f9a55becfbfaf25f0daebf359568f0a0c94fb7daa02703e777fa6b70949,ลำปาง,1,90,บางเขน,บางนาดำ,138,95,43,0.3115942028985507
4009fb6b67e7f0e0c260541fdc08527bdbaac1cc600dbbaf1f7c9971ccd5c496,ลำปาง,1,4,หัวล้านคร,หนองหลม,106,63,43,0.4056603773584906
1c11a72209b392cbcecaff9d94339586c50d3d44561e86772c305ea1d1d27f15,ลำปาง,1,11,ห้างจักร,เลของคาว,95,52,43,0.45263157894736844
abdc44f09f988fb3757ea78464500146cf663fd223f94cfd4b6d0f25930b90bd,ลำปาง,1,12,เมืองลำปาง,เวียงเหนือ,93,49,44,0.4731182795698925
aba0b21cb879ef6682b8eacf742bccce57fa9860d541f4c6986c3b4133fab161,ลำปาง,1,8,เพ็ญ,บ้านเป้า,79,35,44,0.5569620253164557
4f8de688e2dc05c5bb4c37823d8236a128fb6acd9330a4c636f86403307af19f,ลำปาง,1,1,หัวลักษณ์,เข้ามาลง,135,91,44,0.32592592592592595
fecde8188468aabb23c9f1cbfe31dc985751fce912a37406ac3bbe379edb351a,ลำปาง,1,47,เมือง,สยชุ่ย,103,58,45,0.4368932038834951
1af445cfda43aeb00b1126ddfda35e7e3c623e6f67b26c312c83def7507ad036,ลำปาง,1,11,เมือง,คันธรชัย,148,103,45,0.30405405405405406
b44130db3d65a649cdb39861a032d722cd2fb75308317057dd01ce64535d24c9,ลำปาง,1,2,ห้างฉัตร,เวียงศาล,140,94,46,0.32857142857142857
2ae3b59e050a1b28211f9e2ca91938a6306c8537df7f41132edd1d89deb8922e,ลำปาง,1,46,เมือง,สมุย,85,39,46,0.5411764705882353
9171d0a94aa2da15220713c306d803f80a67fb7bb3b6a77ba2c30e87fae4dfb0,ลำปาง,1,15,เมือง,ลาดสว่าง,88,42,46,0.5227272727272727
eef4bf4b87c8433ea66b9943811a58c4722830807ff2cfbadc030fb287c13870,ลำปาง,1,1,หัวล่าง,ฟ้าแล้ง,203,157,46,0.22660098522167488
b1db17558508ea49b2bfd8c054fdac397ea51c175a97fdc1c5ae1ec75324bba4,ลำปาง,1,7,เมือง,นิคมพัฒนา,111,64,47,0.42342342342342343
1562c75d5e8fe43b1a13fabfb73108b2c6565b7cd8857c4f075e1857af4f9375,ลำปาง,1,7,หัวพิตร,แม่สัน,89,42,47,0.5280898876404494
c76c9fecb44a040a3891bc43a0defa289429332fb06e174b0c99e07bb53665b6,ลำปาง,1,1,เมืองลำปาง,บ้านค่า,170,123,47,0.27647058823529413
88d42294967b0e0376767e7debf53cb01c404f01592af24fb20082825fdd9533,ลำปาง,1,5,กำแพงเพชร,ปอดดาล,160,113,47,0.29375
f0f42d8fa01e8961542a4772057844a9ebc1cc6321d193749e08693209b51a9d,ลำปาง,1,2,เมือง,บ้านเป้า,122,75,47,0.38524590163934425
593b4119792da918ea5438e0af84be51673d85daf1a2c371a1f48cbb19842d02,ลำปาง,1,1,เมือง,ป้อมเรือง,153,105,48,0.3137254901960784
3618f3b07935ef129a9acf610a703b457c86568dbefd7ad2f71404aeb3c3551c,ลำปาง,1,12,เมือง,ป้อมแพ่ง,68,19,49,0.7205882352941176
b48890935ef005801ebb7ac0a3b8f859962826b44313ec0727501ed090c04ca3,ลำปาง,1,13,เมือง,น่าแซ่,77,28,49,0.6363636363636364
b6b045fff18f8653256c2d43aeead038702515fa1bfdd92c4383c41b7f7e17af,ลำปาง,1,42,เมือง,น้ำเน่า,114,65,49,0.4298245614035088
ed11955ebb41a61387bea1dbe307659ae52fd3a5d3e49e3928df7a63db6ba2c2,ลำปาง,1,75,เมือง,ธมภู (ทน.ป.),79,30,49,0.620253164556962
fe401d0ad8d5e1b76e447924610c5eb6050821df4fe06ac5afc8d3ef6c4db3ff,ลำปาง,1,7,เมือง,ถนนราชเทวี,79,30,49,0.620253164556962
9f68378bbc0a1b47c3b7516d66d35d4113afe10a733d6e6ca8ea5694e115ac07,ลำปาง,1,5,เมือง,บ้านเชื่อม,107,57,50,0.4672897196261682
7fcf866f43d120a139cd576ac83c07852bd9f8a92a3c9d52e756d6df55d7058b,ลำปาง,1,3,เลขที่ 407,เก็บมาแล้ว,115,65,50,0.43478260869565216
bf2f8ba9edc587b4a1419b1fdf04f57acaf8420458bb69a2d599e3fdd2bc72b9,ลำปาง,1,12,เมืองลำปาง,คันธรชัย,162,109,53,0.3271604938271605
0614618f5745dd81ef08f5ff37cfdd2270e7ec65a2bc0e4f17848662f62d0c33,ลำปาง,1,1,เมือง,ป้อมฮัว,143,88,55,0.38461538461538464
2da73374d7e953b1988ad7adc377c600d2db4153f4825beacfce131df8505abc,ลำปาง,1,44,จังหวัดลำปาง,สยาม อิมพานาชาลัย,102,47,55,0.5392156862745098
63054c76280503701cbde7a1456826e777102e3e0d309ac28a35e57f4f84c1e4,ลำปาง,1,5,เมือง,ปอแซ่,173,118,55,0.3179190751445087
4d6b83632c1c83590b0d26cabc1eb15ea83d5c44c7e0920869387f19f0f980f5,ลำปาง,1,35,เมือง,สวนดอก,96,40,56,0.5833333333333334
d9c704fc73262a350dc9c7011373b7df541e0def363d578304dc69135315d481,ลำปาง,1,34,เมือง,สวนดอก,104,48,56,0.5384615384615384
