changwat,constituency,amphoe,tambon,station_count,voters_registered,voters_present,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,turnout_rate,invalid_rate,no_vote_rate
ลำปาง,1,ห้างฉัตร,ปางยางคก,1,467,259,259,240,2,17,0.5546038543897216,0.007722007722007722,0.06563706563706563
ลำปาง,1,ห้างฉัตร,วอแก้ว,1,227,183,183,163,12,7,0.8061674008810573,0.06557377049180328,0.03825136612021858
ลำปาง,1,น้ำจืด,เมืองฯ,1,230,170,170,151,7,12,0.7391304347826086,0.041176470588235294,0.07058823529411765
ลำปาง,1,ห้างฉัตร,ห้างฉัตร,1,270,199,199,164,16,19,0.737037037037037,0.08040201005025126,0.09547738693467336
ลำปาง,1,นางฉัตร,นางฉัตร,1,703,489,489,421,22,46,0.6955903271692745,0.044989775051124746,0.09406952965235174
ลำปาง,1,ห้างฉัตร,เพลิน,1,270,151,151,136,5,10,0.5592592592592592,0.033112582781456956,0.06622516556291391
ลำปาง,1,นางจิตร,ฟองคอก,1,378,301,301,258,19,24,0.7962962962962963,0.06312292358803986,0.07973421926910298
ลำปาง,1,ห้างฉัตร,เมืองฯ,1,420,329,344,321,10,13,0.7833333333333333,0.030395136778115502,0.03951367781155015
ลำปาง,1,ห้างฉัตร,แม่ลาน,1,70,512,312,512,18,26,7.314285714285714,0.03515625,0.05078125
ลำปาง,1,ห้างมิตร,ป้อมบางคอก,1,617,443,443,401,15,24,0.7179902755267423,0.033860045146726865,0.05417607223476298
ลำปาง,1,ห้าชนิด,เมืองฮาว,1,43,34,371,328,158,56,0.7906976744186046,4.647058823529412,1.6470588235294117
ลำปาง,1,ห้ามจักร,หัวหน้าอำเภอ/เขต ห้างฉัตร์,1,654,493,493,410,23,40,0.753822629969419,0.04665314401622718,0.08113590263691683
ลำปาง,1,ห้ามฉ้อจารย์,หนองหล่ม,1,274,212,212,199,4,7,0.7737226277372263,0.018867924528301886,0.0330188679245283
ลำปาง,1,นางจิกร,แม่สิม,1,460,372,372,333,16,23,0.808695652173913,0.043010752688172046,0.06182795698924731
