sha256,voting_type,station_id,tambon,amphoe,changwat,constituency,polling_station,election_date,voters_registered,voters_present,ballots_allocated,ballots_used,ballots_valid,ballots_invalid,ballots_no_vote,ballots_remaining,total_votes,validation_passed,turnout_rate,valid_rate,invalid_rate,no_vote_rate
b60109796d99b96f4e3fafe645cd9ac37e87d70b9671db1dd8853e776e037a6b,election_day,,วงศัว,ห้างซัง,ลำปาง,1,4,2026-02-28,375,375,500,375,345,12,18,125,345,True,1.0,0.92,0.032,0.048
b690b18fe286049fef36e98f4a584ca974d644590251b8b59b2d6a1fec00084f,election_day,,คันถลิ่ย,เมือง,ลำปาง,1,5,2026-02-28,731,489,680,489,434,11,44,191,434,False,0.6689466484268126,0.8875255623721882,0.022494887525562373,0.08997955010224949
db9f3291022b84b3dc134fde16dccf0f34bcb692bd9194fabc5e8548263ec4fd,election_day,,สุขใจ,เมือง,ลำปาง,1,38,2026-02-28,666,445,620,445,402,14,29,175,402,True,0.6681681681681682,0.903370786516854,0.03146067415730337,0.0651685393258427
dbc4c0b2a26746b4adddf8a34a0b0d25038c520ce54818e643cf87ab3a0a027e,election_day,,บ้านค่า,เมืองลำปาง,ลำปาง,1,4,2026-02-28,418,273,400,273,252,9,9,147,252,False,0.65311004784689,0.9230769230769231,0.03296703296703297,0.03296703296703297
eef4bf4b87c8433ea66b9943811a58c4722830807ff2cfbadc030fb287c13870,election_day,,ฟ้าแล้ง,หัวล่าง,ลำปาง,1,1,2026-02-28,40,0,780,578,537,19,22,202,537,False,0.0,,,
f0f42d8fa01e8961542a4772057844a9ebc1cc6321d193749e08693209b51a9d,election_day,,บ้านเป้า,เมือง,ลำปาง,1,2,2026-02-28,523,359,500,359,341,7,11,141,341,True,0.6864244741873805,0.9498607242339833,0.019498607242339833,0.03064066852367688
f6b654f23de9a20843d4b57cb2dbf2034d19db2e668b1f4820e2952a34158434,election_day,,ปุณณางค์พิมพา,เมือง,ลำปาง,1,6,2026-02-28,133,107,140,107,100,7,0,33,100,False,0.8045112781954887,0.9345794392523364,0.06542056074766354,0.0
fe401d0ad8d5e1b76e447924610c5eb6050821df4fe06ac5afc8d3ef6c4db3ff,election_day,,ถนนราชเทวี,เมือง,ลำปาง,1,7,2026-02-28,80,62,380,620,530,11,13,160,530,False,0.775,8.548387096774194,0.1774193548387097,0.20967741935483872
4a886727145c78ebd9bbe9ed6530a684f960d8b17b7e669f628cf89bd30b1711,election_day,,สวนดอก,เมือง,ลำปาง,1,30,2026-02-28,42,261,400,261,221,9,14,139,221,False,6.214285714285714,0.8467432950191571,0.034482758620689655,0.05363984674329502
5e61b82fe0143795b691c26d2c7ee499b4730f1da22032c6eac4f7bc3bdc4a9c,election_day,,ธมย.,เมืองฯ,ลำปาง,1,74,2026-02-28,559,367,520,367,329,329,29,153,329,False,0.6565295169946332,0.896457765667575,0.896457765667575,0.07901907356948229
681d6b059156e233034b5feb3614617a8d1c2914a3b93ff171cf4158b85f362c,election_day,,ปอดแวก,เมือง,ลำปาง,1,11,2026-02-28,841,551,760,551,505,40,66,209,505,False,0.6551724137931034,0.9165154264972777,0.07259528130671507,0.11978221415607986
720c001ba97d9faec9b2d4fb0bfcc7723ca085e932319c0651fb548c2d1fa9ee,election_day,,หัวเสียง,เมือง,ลำปาง,1,29,2026-02-28,550,374,500,384,311,11,22,196,311,False,0.68,0.8315508021390374,0.029411764705882353,0.058823529411764705
8391ff9c221cc18c2f4240c4ac87c7e554e6847af79d8f7c9680e8d0191e8b69,election_day,,สมุย,เมือง,ลำปาง,1,42,2026-02-28,378,258,360,258,258,239,15,102,258,False,0.6825396825396826,1.0,0.9263565891472868,0.05813953488372093
8c04685846be74413d9c2da6407c23528338e9d50dc5a9dc7876270496bf9c95,election_day,,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,ลำปาง,1,1,2026-02-28,403,592,980,592,550,13,29,184,592,False,1.468982630272953,0.9290540540540541,0.02195945945945946,0.048986486486486486
94eab1e53ed58839d91176e38442ec8ad4bc856cb2bd3f4dde6e3bb62f4e90bb,election_day,,ป้อมเจ้าหลวงกรุงเทพฯ,บางกะปิ,ลำปาง,1,7,2026-02-28,573,395,540,395,359,10,26,145,359,False,0.6893542757417103,0.9088607594936708,0.02531645569620253,0.06582278481012659
03ba53cbb370471e0619ea15933fd244e36dcb4fc7ba56f6de329b3ffeddc773,election_day,,พระบาท,เมืองลำปาง,ลำปาง,1,68,2026-02-08,641,407,580,407,386,4,17,173,386,True,0.6349453978159126,0.9484029484029484,0.009828009828009828,0.04176904176904177
0614618f5745dd81ef08f5ff37cfdd2270e7ec65a2bc0e4f17848662f62d0c33,election_day,,ป้อมฮัว,เมือง,ลำปาง,1,1,2026-02-28,499,341,420,341,311,12,18,79,311,False,0.6833667334669339,0.9120234604105572,0.03519061583577713,0.05278592375366569
1e758037bce51c750ca4a6e20d90666f3bc51d6f7a9f8f208deced54e5f10918,election_day,,เชิงทะเล,ถลาง,ลำปาง,1,3,2026-02-08,60,43,600,431,384,18,29,169,384,False,0.7166666666666667,8.930232558139535,0.4186046511627907,0.6744186046511628
1ea7cb30a2c09996218670ac2e0c2c4c052cbd401e875ee82cf24191bc84a6e7,election_day,,เมืองฯ,อำเภอเมือง,ลำปาง,1,8,2026-02-28,430,358,420,358,327,23,8,62,327,False,0.8325581395348837,0.9134078212290503,0.06424581005586592,0.0223463687150838
2da73374d7e953b1988ad7adc377c600d2db4153f4825beacfce131df8505abc,election_day,,สยาม อิมพานาชาลัย,จังหวัดลำปาง,ลำปาง,1,44,2026-02-28,413,274,380,274,252,10,12,106,252,False,0.6634382566585957,0.9197080291970803,0.0364963503649635,0.043795620437956206
322de201ad83536a09b3b0b30e57ce568a531fa970259a86b6d156bed45266ed,election_day,,คูฝาย,เมืองลำปาง,ลำปาง,1,2,2026-02-28,60,402,560,402,368,17,17,158,368,False,6.7,0.9154228855721394,0.04228855721393035,0.04228855721393035
b17733d9fce3857aa12c80e3315b1700ad40fa95e0516a09168c4916b3fd9063,election_day,,ห้างฉัตร,หางฉัตร,ลำปาง,1,6,2026-02-08,30,570,320,570,510,60,0,150,510,False,19.0,0.8947368421052632,0.10526315789473684,0.0
