sha256,changwat,constituency,polling_station,amphoe,tambon,rank1_votes,rank2_votes,vote_margin,margin_rate
cc6536c46598c192be716c29320e9c7db55debb3409d8f69c96f19134dea0af6,ลำปาง,1,3,อำเภอ/เขต,ตำบล/แขวง/เทศบาล,119,93,26,0.2184873949579832
3f40a200c3f5d87105b2d6c78cc1ed3d81158a07c1b8f9ed2edcf5276a7ee9dc,ลำปาง,1,11,ห้างฉัตร,เมืองฯ,117,91,26,0.2222222222222222
76917851712e75be04a94cc74c6fc61340079f9053797d65e76f2ccea41a627c,ลำปาง,1,9,เพื่อ,ทุ่งฝาย,105,79,26,0.24761904761904763
163d8bc732dd29d365df9c5be6097b7a584b23122abad2c972cd79e8c7949203,ลำปาง,1,4,ห้างฉัตร,เมืองยาว,75,49,26,0.3466666666666667
c76c9fecb44a040a3891bc43a0defa289429332fb06e174b0c99e07bb53665b6,ลำปาง,1,1,เมืองลำปาง,ป้านา,183,156,27,0.14754098360655737
4faa0d43b0b7b34ee7425a91a00074dd3847d879a543f773690b47ddcf4143a2,ลำปาง,1,3,เชียง,บ้านเป้า,125,98,27,0.216
e3d2366250a5fb6e48a048624ad3008067ade56c25162de67b14e20b1cb352ed,ลำปาง,1,8,เมือง,บ้านเอื้อม,176,148,28,0.1590909090909091
3390e60c0797905b6ac7b85c7ad90635e2119c9f685f18019747eecf773112a5,ลำปาง,1,4,เมือง,ต้น ธงชัย,167,138,29,0.17365269461077845
941c14853485f8105c4f37545d4cd88645455b8b9eb3c96d2ed925dbaa8b1a22,ลำปาง,1,5,เมือง,ปุณฑาราม,117,87,30,0.2564102564102564
485a4f6487bf6914fceb4af505c8a51aac273cd6ccf4acbce8b5279bdfe782c8,ลำปาง,1,4,กำแพงเมือง,เมืองกำแพงเพชร,46,16,30,0.6521739130434783
017e407e54aeef30e3b729e9d86d0b1faa90f573ed843fee71bf7fca9076fe4b,ลำปาง,1,1,น้ำปาปาง,ป่าเปา,164,134,30,0.18292682926829268
73a57c23d4c09bfd931b1257cfc93aa48d8ee9267baf47729960c5fee288dc30,ลำปาง,1,30,เมืองลำปาง,นครลำปาง,63,33,30,0.47619047619047616
aba0b21cb879ef6682b8eacf742bccce57fa9860d541f4c6986c3b4133fab161,ลำปาง,1,8,เมือง,ป่านาเฒ่า,139,109,30,0.2158273381294964
b9440919dbdda86c4f12ae51af871557a7d92c2e6f9a621e185512a28ee81fb7,ลำปาง,1,6,เมือง,โนนม่วง,103,72,31,0.30097087378640774
c463128bf9261417d9dc86d0d486d594d8229bce9829d8fa63b85318d132a48c,ลำปาง,1,8,ห้างฉัตร,เพลิน,68,37,31,0.45588235294117646
31c9279f04e0f99db4bd1c4cf9f13c97fc1d12671ef090d99e0af8884fdda6a5,ลำปาง,1,7,หัวเมืองฯ,วงศ์แก้ว,128,97,31,0.2421875
4f3bdb5e1ad369decbe230c5461942ffe0965828a3918a7e9d2f45d7909f06ff,ลำปาง,1,5,เมืองลำปาง,นิคมพัฒนา,70,38,32,0.45714285714285713
8391ff9c221cc18c2f4240c4ac87c7e554e6847af79d8f7c9680e8d0191e8b69,ลำปาง,1,42,เมือง,สุขุมวิทย์,85,52,33,0.38823529411764707
f9d37490f7f3a215b7ed2566becaf5b087f12c6ef8a4c0cfc38af03caa10f5c2,ลำปาง,1,1,หัวยุทธ,บางจาก,155,121,34,0.21935483870967742
4009fb6b67e7f0e0c260541fdc08527bdbaac1cc600dbbaf1f7c9971ccd5c496,ลำปาง,1,4,หางคู,หนองหล่ม,108,74,34,0.3148148148148148
6894ce19d86292625af026ac6436c58cae245028ec35a3b9bf775f734395ad86,ลำปาง,1,1,เมือง,มานายอิ่ม,442,408,34,0.07692307692307693
d2554d345b7834f5866c4e4ac426604e702eefad1eef23f2c0c7023078949d9b,ลำปาง,1,11,เมืองลำปาง,ทุ่งบาง,138,103,35,0.2536231884057971
5a4d99e831ad330144ff9e7eef91bf84d5c0504e2fcb6bb49db1cdd43c178147,ลำปาง,1,43,เมือง,สบค.,101,66,35,0.3465346534653465
88d42294967b0e0376767e7debf53cb01c404f01592af24fb20082825fdd9533,ลำปาง,1,5,กำแพงเพชร,ปอดดาล,160,125,35,0.21875
abdc44f09f988fb3757ea78464500146cf663fd223f94cfd4b6d0f25930b90bd,ลำปาง,1,12,เมืองลำปาง,เจียงเหนือ,99,63,36,0.36363636363636365
1ea7cb30a2c09996218670ac2e0c2c4c052cbd401e875ee82cf24191bc84a6e7,ลำปาง,1,8,ปักธารา,เมืองฯ,128,92,36,0.28125
0614618f5745dd81ef08f5ff37cfdd2270e7ec65a2bc0e4f17848662f62d0c33,ลำปาง,1,1,เมือง,ปอหยิ่ว,147,111,36,0.24489795918367346
d0d276a5881e56195378ed805ae222aad4d4bbc5bbd2b8807b767fd13a31307b,ลำปาง,1,7,เมือง,นิคมพัฒนา,99,62,37,0.37373737373737376
