จังหวัด,เขต,อำเภอ,ตำบล,จํานวนหน่วย,ผู้มีสิทธิ,มาใช้สิทธิ,บัตรใช้ไป,บัตรดี,บัตรเสีย,บัตรไม่เลือก,1. ไทยทรัพย์ทวี,2. เพื่อชาติไทย,3. ใหม่,4. มิติใหม่,5. รวมใจไทย,6. รวมไทยสร้างชาติ,7. พลวัต,8. ประชาธิปไตยใหม่,9. เพื่อไทย,10. ทางเลือกใหม่,11. เศรษฐกิจ,12. เสรีรวมไทย,13. รวมพลังประชาชน,14. ท้องที่ไทย,15. อนาคตไทย,16. พลังเพื่อไทย,17. ไทยชนะ,18. พลังสังคมใหม่,19. สังคมประชาธิปไตยไทย,20. ฟิวซัน,21. ไทรวมพลัง,22. ก้าวล่วง,23. ปวงชนไทย,24. วิชชั่นใหม่,25. เพื่อชีวิตใหม่,26. คลองไทย,27. ประชาธิปัตย์,28. ไทยก้าวหน้า,29. ไทยภักดี,30. แรงงานสร้างชาติ,31. ประชากรไทย,32. ครูไทยเพื่อประชาชน,33. ประชาชาติ,34. สร้างอนาคตไทย,35. รักชาติ,36. ไทยพร้อม,37. ภูมิใจไทย,38. พลังธรรมใหม่,39. กรีน,40. ไทยธรรม,41. แผ่นดินธรรม,42. กล้าธรรม,43. พลังประชารัฐ,44. โอกาสใหม่,45. เป็นธรรม,46. ประชาชน,47. ประชาไทย,48. ไทยสร้างไทย,49. ไทยก้าวใหม่,50. ประชาอาสาชาติ,51. พร้อม,52. เครือข่ายชาวนาแห่งประเทศไทย,53. ไทยพิทักษ์ธรรม,54. ความหวังใหม่,55. ไทยรวมไทย,56. เพื่อบ้านเมือง,57. พลังไทยรักชาติ
ลำปาง,1,เมือง,ทุ่งคราม,1,826,561,561,522,17,22,6,11,0,10,6,6,2,10,188,1,20,2,6,0,1,0,0,0,0,0,0,0,0,0,0,1,20,0,1,1,2,1,3,2,1,0,43,3,0,0,0,1,1,0,0,168,2,2,1,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ทุ่งฝาย,1,560,406,406,347,33,26,3,8,0,18,3,5,1,12,86,2,13,2,3,0,1,2,2,0,0,1,0,0,0,2,0,0,1,0,1,2,0,0,1,1,1,0,34,0,0,1,0,1,0,2,1,124,3,4,1,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ท่าดินแดง,1,760,760,760,730,1,29,0,1,0,2,2,7,2,1,66,2,6,0,1,1,0,1,0,0,9,1,0,0,1,0,0,0,20,0,4,0,9,0,1,0,0,0,58,0,1,0,0,4,0,0,0,73,0,3,5,0,1,0,9,0,0,0,0
ลำปาง,1,เมือง,ธมพ,2,1063,862,864,764,43,55,1,5,1,5,8,32,3,7,112,4,22,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,69,1,3,1,3,0,0,1,0,1,157,0,0,0,0,5,1,0,1,306,0,4,7,0,0,1,4,1,0,0,0
ลำปาง,1,เมือง,ธมภู (ทน.ป.),1,322,233,299,208,8,17,0,2,1,2,1,2,0,9,3,2,9,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,1,2,1,0,0,0,1,0,30,0,2,0,0,3,0,1,0,79,0,0,2,0,0,0,0,0,1,1,1
ลำปาง,1,เมือง,นครลำปาง,2,1100,687,687,630,12,44,1,2,0,2,0,14,5,4,93,3,4,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,71,3,15,0,0,0,0,1,0,0,129,0,0,0,0,1,1,0,0,222,2,8,6,0,0,0,0,0,0,0,424
ลำปาง,1,เมือง,นครแพร่,1,438,338,338,310,11,17,1,5,0,4,0,2,0,3,82,0,15,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,1,1,0,0,35,2,1,0,0,3,0,0,0,140,0,1,1,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,นฤนาคพัฒนา,1,427,300,300,278,15,7,1,2,1,10,3,11,0,6,77,1,7,2,4,1,0,2,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,1,2,0,1,15,5,0,0,0,2,0,0,0,11,3,1,0,0,1,0,0,0,1,0,1
ลำปาง,1,เมือง,นองแล้ว,1,487,345,345,304,22,19,1,3,1,0,0,5,1,3,63,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,19,0,1,0,0,0,1,1,0,1,35,1,0,0,1,0,0,0,0,148,0,0,6,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,นิคมพัฒนา,6,1455,1315,1300,1203,46,54,13,21,16,17,8,24,3,23,309,12,39,3,8,2,1,6,6,0,0,0,0,1,1,2,0,0,39,2,6,5,1,3,3,0,0,2,110,4,0,1,0,11,3,1,1,455,2,8,6,1,1,0,0,0,1,1,2
ลำปาง,1,เมือง,นิคมอุตสาหกรรม,1,295,238,238,221,8,9,1,1,1,6,1,8,0,2,65,2,8,0,0,0,0,0,3,0,0,0,0,0,0,0,6,1,5,0,0,0,0,1,0,0,0,12,1,0,2,0,0,0,0,0,96,0,2,2,0,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,น่าแซ่,1,263,182,182,163,6,13,1,0,0,1,0,7,1,0,28,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,77,0,1,0,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,น้ำเน่า,1,42,298,298,273,7,18,4,3,0,5,1,6,1,6,65,2,4,2,4,0,2,2,1,0,0,0,0,0,0,1,0,1,10,1,0,0,0,0,1,0,0,1,26,0,0,0,0,0,1,1,0,114,2,3,1,0,0,1,0,0,0,0,1
ลำปาง,1,เมือง,น้ำเมือง,1,396,263,263,248,15,137,1,3,2,10,3,2,1,6,69,2,13,2,4,0,0,1,2,0,0,1,0,0,5,0,0,6,3,0,0,8,9,0,0,0,0,0,17,2,0,2,0,2,0,0,0,87,0,3,9,0,0,0,4,1,0,1,1
ลำปาง,1,เมือง,บ่อแล่นทอง,1,168,134,134,124,7,3,0,2,1,2,0,4,0,2,33,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,51,0,2,1,0,0,1,0,0,0,0,0
ลำปาง,1,เมือง,บ่อแล้ง,1,630,407,407,368,10,29,4,3,0,0,0,15,1,2,41,5,12,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,15,1,1,0,1,0,0,0,1,1,40,2,0,1,0,4,0,0,0,208,1,3,0,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,บ้านข้า,1,405,306,306,279,12,15,1,5,2,4,5,3,0,4,57,1,7,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2,0,1,1,116,0,2,1,0,0,0,0,0,0,0,1
ลำปาง,1,เมือง,บ้านเชื่อม,1,360,271,271,252,11,8,2,7,1,6,5,0,0,7,57,0,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,2,2,0,1,25,2,0,0,0,1,2,6,0,107,0,2,0,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,บ้านเป้า,3,1210,858,840,797,21,34,3,14,9,15,7,15,3,17,195,6,28,3,9,1,6,3,0,1,0,0,0,0,1,0,1,2,46,3,2,4,3,0,2,2,4,2,83,5,1,1,1,26,6,0,0,279,1,5,3,0,0,0,0,0,1,1,0
ลำปาง,1,เมือง,บ้านเมือง,1,630,448,448,413,33,0,0,0,0,0,0,0,0,0,0,0,21,2,7,1,0,1,5,1,0,1,0,0,0,3,2,1,14,0,0,0,0,0,1,0,0,1,15,6,0,0,0,1,0,2,0,145,0,4,0,0,0,1,0,1,0,0,0
ลำปาง,1,เมือง,บ้านเลื้อม,1,477,346,346,326,10,10,1,3,3,3,2,8,0,93,119,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,1,0,2,1,0,0,133,0,0,0,0,0,0,1,0,0,0,0
ลำปาง,1,เมือง,บ้านเอื้อม,3,1072,1049,1049,983,80,33,10,19,12,26,8,7,3,106,268,9,29,2,8,0,1,6,5,0,1,0,0,0,0,2,0,2,24,1,2,2,6,2,0,2,3,3,60,8,0,0,2,7,6,3,2,367,2,4,2,0,0,1,0,1,0,0,0
ลำปาง,1,เมือง,ปอดแวก,1,841,551,551,505,40,66,0,3,1,3,0,22,0,0,88,7,23,1,5,1,1,2,2,0,0,0,1,0,0,1,0,0,42,1,3,0,0,0,0,0,0,2,77,0,0,0,0,2,0,1,0,197,0,10,9,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ปอเรือง,1,479,352,352,319,17,16,0,9,0,4,5,7,4,10,83,3,11,0,6,0,0,3,1,0,1,0,0,0,1,0,0,0,8,0,3,0,0,0,1,1,0,2,26,3,0,0,0,2,1,0,0,116,0,2,3,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ปอแซ่,1,708,507,507,439,24,44,2,11,0,10,1,10,2,7,118,3,15,1,7,0,1,0,0,0,0,0,1,0,0,0,0,1,12,1,1,1,1,1,0,0,0,0,38,1,0,1,0,17,0,0,0,173,0,1,3,0,1,0,1,0,0,0,0
ลำปาง,1,เมือง,ปะเหลียนอง อ่าเก้อ,1,696,443,443,443,28,25,0,5,2,4,4,7,1,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,5,3,1,0,188,3,2,1,0,1,0,0,1,0,1,443
ลำปาง,1,เมือง,ปุณฑาราม,1,763,564,564,494,44,28,9,8,8,14,8,8,5,10,109,2,46,4,4,1,1,3,9,1,0,0,0,1,1,8,0,1,18,1,1,0,1,1,2,1,0,1,47,3,0,0,0,3,0,2,2,19,1,2,1,1,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ปุณณางค์พิมพา,1,133,107,107,100,7,0,0,3,0,7,0,0,0,2,27,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,42,0,1,0,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ป้อมยิ้ม,1,660,479,469,449,5,33,0,4,0,0,1,8,0,1,65,4,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1,0,0,0,0,0,0,0,63,1,0,0,0,5,1,0,1,247,1,1,1,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ป้อมฮัว,1,499,341,341,311,12,18,1,5,2,6,2,4,0,5,88,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,4,0,0,1,0,2,0,0,29,1,0,0,0,0,0,0,0,143,0,4,2,0,0,0,0,0,0,0,0
ลำปาง,1,เมือง,ป้อมฮ่อง,1,521,415,415,375,375,27,2,5,2,5,2,9,0,4,81,1,10,0,8,0,0,1,0,0,1,0,0,0,0,0,1,1,13,0,2,0,1,0,2,0,0,1,20,3,0,0,0,3,0,0,0,192,0,4,0,0,0,0,0,0,0,0,1
ลำปาง,1,เมือง,ป้อมเรือง,1,534,421,421,372,16,33,2,10,0,8,0,8,0,5,105,2,7,2,3,0,0,1,1,0,0,0,6,0,0,0,0,0,12,1,2,0,1,0,1,1,1,0,38,2,0,0,0,1,0,0,2,153,0,0,2,0,0,0,0,1,0,0,0
